SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.dmcontrol_dmactive,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
2,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.havereset_skip_pwrup,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
3,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.dmstatus_allany_halted,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
4,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.dmstatus_allany_resumeack,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
5,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.dmstatus_allany_havereset,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
6,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.command_reg[17:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
7,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.command_reg[22:20],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
8,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.command_reg[31:24],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
9,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.dmcontrol_ackhavereset,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
10,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.dmcontrol_ndmreset,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
